order_id,region,category,quantity,unit_price,status
1001,west,sensors,4,89.50,completed
1002,east,controllers,2,210.00,completed
1003,west,harnesses,10,18.25,completed
1004,south,sensors,6,89.50,cancelled
1005,north,actuators,3,145.00,completed
1006,west,controllers,1,210.00,returned
1007,east,sensors,8,92.00,completed
1008,south,harnesses,12,18.25,completed
1009,west,sensors,5,89.50,completed
1010,north,controllers,2,198.00,completed
1011,east,actuators,4,145.00,cancelled
1012,west,actuators,2,152.50,completed
1013,south,controllers,3,210.00,completed
1014,east,harnesses,20,17.80,completed
1015,west,sensors,7,92.00,completed
1016,north,sensors,3,89.50,returned
1017,south,actuators,5,145.00,completed
1018,east,controllers,1,225.00,completed
1019,west,harnesses,15,18.25,completed
1020,north,harnesses,8,17.80,cancelled
1021,east,sensors,9,89.50,completed
1022,south,sensors,2,92.00,completed
1023,west,controllers,4,198.00,completed
1024,north,actuators,1,152.50,completed
